medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
140250,N,3,99,0.19,0.08,2.36,236.33,11,0.16,0.09,1.8,13117,0.35,0.17,1.43,1.8637005885,2.5949636213,2.07,0.31,0.14,0.04,0.03
140251,N,1,34,0.06,0.03,2.06,198.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2761016041,NA,NA,NA,NA,NA
140252,N,3,385,0.63,0.32,1.98,199.13,39,0.57,0.35,1.64,12628,1.2,0.66,1.18,1.8216995962,2.1787909641,1.8,1.02,0.51,0.18,0.15
140258,N,4,163,0.36,0.13,2.79,279.42,11,0.27,0.13,2.09,17200,0.63,0.26,1.14,2.4854986193,3.2048113809,2.44,0.56,0.2,0.07,0.06
140275,N,2,37,0.08,0.03,3.06,279.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3910507026,NA,NA,NA,NA,NA
140276,N,2,457,0.92,0.37,2.5,238.4,15,1.04,0.37,2.8,35455,1.96,0.74,1.65,2.8838623184,2.7550146857,2.65,1.78,0.63,0.18,0.11
140280,N,3,107,0.19,0.1,1.79,157.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7726294581,NA,NA,NA,NA,NA
140281,N,3,2130,6.97,2.23,3.13,302.65,254,5.83,3.04,1.92,19294,12.8,5.27,1.75,1.988492198,3.4311718464,2.43,11.28,4.4,1.52,0.87
140286,N,3,140,0.54,0.1,5.22,515.63,14,0.44,0.11,4.06,32063,0.99,0.21,2.18,4.7631359546,5.9635563994,4.63,0.88,0.16,0.11,0.05
140288,N,4,160,0.47,0.17,2.74,265.97,30,0.59,0.25,2.3,18086,1.05,0.43,1.52,2.4540979717,3.0019203385,2.48,0.95,0.36,0.1,0.07
140289,N,3,56,0.08,0.04,2.32,214.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6156596902,NA,NA,NA,NA,NA
140290,N,4,263,0.74,0.25,2.96,313.44,23,0.46,0.23,1.97,16769,1.2,0.48,1.39,2.1737110895,3.4880017034,2.48,1.05,0.37,0.16,0.11
140291,N,4,203,0.35,0.15,2.31,232.54,21,0.33,0.19,1.72,14838,0.69,0.35,0.97,2.1641020444,2.5565407963,1.98,0.6,0.25,0.09,0.09
140292,N,2,23,0.06,0.02,2.69,293.31,11,0.15,0.11,1.32,9839,0.21,0.14,1.38,1.3217196525,3.1438575834,1.55,0.19,0.12,0.02,0.01
140294,N,3,41,0.44,0.07,5.98,527.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7055159101,NA,NA,NA,NA,NA
140304,N,2,138,0.3,0.11,2.64,267.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0170734784,NA,NA,NA,NA,NA
141307,Y,2,35,0.03,0.02,1.23,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.186646208,NA,NA,NA,NA,NA
141312,Y,4,136,0.37,0.15,2.54,567.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4603005428,NA,NA,NA,NA,NA
141319,Y,4,15,0.02,0.01,1.75,235.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7151916357,NA,NA,NA,NA,NA
141320,Y,4,141,0.2,0.11,1.71,240.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6854872671,NA,NA,NA,NA,NA
141321,Y,3,160,0.12,0.08,1.38,225.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3163239356,NA,NA,NA,NA,NA
141322,Y,4,20,0.03,0.02,1.76,292.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7987069392,NA,NA,NA,NA,NA
141323,Y,4,95,0.2,0.09,2.16,306.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3389758647,NA,NA,NA,NA,NA
141324,Y,NA,52,0.05,0.04,1.28,153.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1896402971,NA,NA,NA,NA,NA
141326,Y,2,33,0.04,0.03,1.34,182.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2554296449,NA,NA,NA,NA,NA
141327,Y,4,40,0.06,0.04,1.43,236.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.401134513,NA,NA,NA,NA,NA
141328,Y,2,27,0.05,0.02,2.72,484.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8562719996,NA,NA,NA,NA,NA
141331,Y,2,69,0.08,0.05,1.55,219.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5222537593,NA,NA,NA,NA,NA
141334,Y,3,75,0.16,0.08,1.85,264.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.809514702,NA,NA,NA,NA,NA
141335,Y,3,128,0.36,0.18,1.97,376.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7456580732,NA,NA,NA,NA,NA
141336,Y,5,18,0.02,0.01,1.67,329.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5420796357,NA,NA,NA,NA,NA
141337,Y,3,14,0.04,0.02,2.63,343.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4255595817,NA,NA,NA,NA,NA
141339,Y,4,127,0.23,0.14,1.7,283.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6835303834,NA,NA,NA,NA,NA
141341,Y,3,40,0.05,0.03,1.7,244.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6820408924,NA,NA,NA,NA,NA
141342,Y,4,38,0.08,0.03,2.64,425.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7414952852,NA,NA,NA,NA,NA
141343,Y,4,25,0.05,0.02,2.51,376.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6370975139,NA,NA,NA,NA,NA
141345,Y,4,17,0.03,0.02,1.42,270.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3769449069,NA,NA,NA,NA,NA
141349,Y,3,18,0.02,0.01,2.03,335.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0678386699,NA,NA,NA,NA,NA
150001,N,3,1901,4.17,1.49,2.8,267.2,65,0.86,0.45,1.89,15031,5.02,1.94,1.19,2.1230878722,3.2029328219,2.58,4.55,1.54,0.48,0.4
150002,N,3,421,0.87,0.31,2.85,271.37,15,0.27,0.11,2.5,19609,1.14,0.42,1.21,2.7593229085,3.2370841296,2.75,1.05,0.34,0.09,0.08
150004,N,3,142,0.34,0.12,2.72,255.68,11,0.11,0.08,1.41,10994,0.45,0.2,1.38,1.468707163,3.0135297724,2.21,0.4,0.17,0.05,0.04
150005,N,4,4611,11.07,3.62,3.06,286.71,261,3.49,1.63,2.14,16204,14.56,5.25,1.24,2.3518741986,3.4852016719,2.77,13.34,4.27,1.22,0.98
150007,N,4,988,2.73,0.77,3.56,333.51,68,1.42,0.54,2.64,19187,4.16,1.31,1.2,2.8298182508,4.1348037607,3.18,3.9,1.1,0.25,0.21
150008,N,4,169,0.36,0.14,2.62,243.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.922177066,NA,NA,NA,NA,NA
150009,N,2,1164,2.29,1.29,1.77,148.61,136,1.38,1,1.38,10251,3.67,2.29,1.11,1.4678428533,1.884464231,1.6,3.25,1.91,0.43,0.39
150010,N,4,1129,3.15,0.89,3.53,328.8,88,1.46,0.62,2.38,19347,4.62,1.51,1.2,2.865380816,4.0570100885,3.06,4.22,1.18,0.4,0.33
150011,N,3,708,2.12,0.57,3.74,381.95,19,0.31,0.14,2.23,17876,2.44,0.71,1.22,2.4119972342,4.4181668399,3.44,2.27,0.57,0.17,0.14
150012,N,3,734,2.45,0.93,2.64,243.34,90,3.13,1.16,2.7,24349,5.59,2.09,1.31,2.9916433419,2.9491586011,2.67,5.09,1.71,0.49,0.38
150015,N,4,435,1.22,0.45,2.69,249.14,12,0.2,0.07,2.76,20796,1.42,0.53,1.25,3.1149203655,3.0605039138,2.7,1.29,0.42,0.13,0.11
150017,N,2,2897,7.73,2.57,3.01,271.94,187,5.02,1.76,2.85,19796,12.75,4.33,1.2,3.1109438809,3.5591670818,2.94,11.74,3.49,1.01,0.84
150018,N,4,276,0.83,0.27,3.01,268.87,23,0.45,0.16,2.81,20961,1.28,0.43,1.98,3.0022399855,3.2386190901,2.94,1.12,0.36,0.15,0.08
150021,N,4,5222,22.07,4.75,4.65,416.25,470,11.68,3.82,3.06,22659,33.75,8.57,1.25,3.3462523002,5.5828210142,3.94,31.85,7.04,1.9,1.52
150022,N,3,739,1.44,0.48,2.99,291.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3579159883,NA,NA,NA,NA,NA
150023,N,3,3824,13.84,4.45,3.11,285.44,304,5.18,2.36,2.2,17729,19.02,6.81,1.21,2.4172045351,3.5389024784,2.79,17.52,5.58,1.5,1.23
150024,N,5,1373,1.86,0.86,2.15,237.52,93,2.89,1.64,1.77,24818,4.75,2.5,1.55,1.7753436518,2.3610175989,1.9,4.27,2.19,0.48,0.31
150026,N,4,511,1.73,0.51,3.37,318.04,56,1.47,0.48,3.06,26674,3.2,0.99,1.69,3.6021215865,3.7236959608,3.22,2.82,0.77,0.38,0.22
150030,N,4,291,0.76,0.32,2.37,229.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.610907518,NA,NA,NA,NA,NA
150034,N,5,842,1.46,0.54,2.72,260.9,25,0.42,0.19,2.2,15464,1.88,0.73,1.19,2.3529164199,3.0797128937,2.58,1.73,0.6,0.15,0.13
150035,N,4,1378,2.53,1.11,2.29,210.57,141,2.29,1.08,2.12,18297,4.82,2.19,1.23,2.4007471898,2.5274920071,2.2,4.26,1.73,0.57,0.46
150037,N,3,2144,4.14,1.16,3.57,337.79,49,0.77,0.35,2.2,16207,4.92,1.51,1.33,2.4055579404,4.1290187205,3.25,4.53,1.22,0.39,0.29
150042,N,4,488,1.21,0.32,3.74,331.79,29,0.63,0.2,3.13,21806,1.83,0.52,1.2,3.5143382283,4.4166937431,3.51,1.71,0.42,0.12,0.1
150044,N,3,2362,4.09,2.21,1.85,164.55,238,3.77,2.13,1.78,12299,7.87,4.33,1.01,1.9442810673,2.0526886883,1.81,7.05,3.53,0.82,0.81
150045,N,3,163,0.25,0.09,2.69,227.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0275088849,NA,NA,NA,NA,NA
150046,N,2,930,3.87,0.95,4.06,368.09,65,1.03,0.4,2.53,17194,4.89,1.36,1.31,2.7518047936,4.7687333353,3.6,4.57,1.11,0.33,0.25
150047,N,2,253,0.43,0.13,3.19,283.46,20,0.27,0.14,1.98,13311,0.7,0.27,1.29,2.0064071309,3.7819333778,2.57,0.65,0.23,0.05,0.04
150048,N,5,1027,4.23,1.02,4.15,389.26,45,1.22,0.43,2.81,23517,5.45,1.45,1.17,3.1538203221,4.8003647183,3.75,5.15,1.2,0.3,0.25
150051,N,4,10555,39.6,9.95,3.98,372.57,969,20.74,6.93,2.99,24393,60.34,16.88,1.17,3.3637020348,4.6420958057,3.57,56.76,13.83,3.58,3.05
150056,N,4,23664,71.39,19.18,3.72,351.74,1741,95.63,28.46,3.36,37449,167.01,47.64,1.64,3.5368464868,4.1581533017,3.51,157.32,41.72,9.69,5.92
150057,N,5,2670,5.48,1.73,3.17,307.9,89,3.16,1.15,2.76,20814,8.64,2.88,1.17,3.1119887779,3.7141361782,3,7.96,2.3,0.68,0.58
150058,N,4,801,2.95,1.01,2.91,271.98,114,3.4,1.34,2.53,21379,6.35,2.36,1.45,2.7052427303,3.1917135212,2.69,5.85,2.01,0.5,0.34
150059,N,3,1714,4.45,1.58,2.82,277.83,78,1.46,0.67,2.18,17629,5.91,2.25,1.14,2.4619340062,3.270441619,2.63,5.38,1.78,0.53,0.47
150061,N,4,402,0.64,0.21,3.06,262.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5507433872,NA,NA,NA,NA,NA
150064,N,4,66,0.14,0.03,4.12,362.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0090873209,NA,NA,NA,NA,NA
150065,N,5,7951,22.32,6.28,3.55,312.91,275,4.6,1.88,2.45,18642,26.92,8.16,1.39,2.7290891593,4.1111534554,3.3,24.65,6.52,2.27,1.64
150069,N,4,941,3.1,1.02,3.03,295,63,1.52,0.54,2.79,20299,4.62,1.57,1.38,3.0481949172,3.4323100339,2.95,4.23,1.28,0.39,0.28
150072,N,3,960,1.7,0.62,2.74,253.24,30,0.24,0.21,1.18,10888,1.94,0.83,1.2,1.2066439802,3.1315784771,2.35,1.74,0.66,0.2,0.17
150074,N,4,5956,22,5.16,4.26,403.51,310,9.41,3.69,2.55,21347,31.4,8.85,1.2,2.6548562481,4.9166149487,3.55,30.01,7.69,1.4,1.16
150075,N,3,607,1.36,0.43,3.14,286.46,21,0.34,0.13,2.55,18959,1.69,0.56,1.28,2.8067477244,3.6841463493,3,1.54,0.45,0.15,0.12
150076,N,4,817,1.65,0.52,3.17,292.81,29,0.4,0.16,2.4,17548,2.05,0.69,1.64,2.6819768161,3.6140587886,2.99,1.8,0.53,0.25,0.15
150082,N,3,4476,12.23,4.43,2.76,254.12,308,7.27,2.62,2.77,18523,19.5,7.06,1.4,3.0135830976,3.1158152753,2.76,17.64,5.74,1.85,1.32
150084,N,3,8604,39.56,11.18,3.54,335.86,1092,43.28,14.31,3.02,29133,82.84,25.49,1.3,3.2427179665,4.0298931869,3.25,78.17,21.91,4.67,3.58
150086,N,3,986,1.3,0.61,2.12,195.88,41,0.63,0.35,1.79,14681,1.92,0.96,1.23,1.9319259342,2.3675431547,2,1.68,0.76,0.24,0.2
150088,N,3,1969,6.03,1.77,3.4,335.86,80,1.91,0.6,3.19,22618,7.94,2.37,1.26,3.3823806283,4.0260413983,3.35,7.37,1.92,0.57,0.46
150089,N,3,1247,3.5,1.17,2.99,281.11,138,3.44,1.26,2.74,23143,6.94,2.43,1.24,2.9809790001,3.3889641792,2.86,6.45,2.04,0.49,0.39
150090,N,3,291,0.96,0.29,3.34,303.95,14,0.3,0.17,1.74,14708,1.25,0.46,1.16,2.0777945283,3.6633359818,2.74,1.15,0.37,0.1,0.08
150091,N,4,312,0.97,0.21,4.67,421.51,23,0.39,0.14,2.91,24168,1.37,0.34,1.18,3.5054565257,5.6931021406,3.97,1.27,0.26,0.1,0.08
150097,N,3,1499,3.08,0.97,3.19,314.57,37,0.69,0.34,2.02,17786,3.77,1.31,1.19,2.1326130686,3.7324209154,2.88,3.48,1.07,0.29,0.24
150100,N,3,3073,16.24,4.09,3.97,356.54,308,9.53,2.87,3.32,24090,25.76,6.97,1.42,3.7238952548,4.6051799821,3.7,23.91,5.66,1.85,1.31
150101,N,4,284,0.67,0.14,4.94,446.39,11,0.14,0.06,2.4,16794,0.81,0.19,1.46,2.587537493,5.9153389246,4.16,0.75,0.16,0.06,0.04
150104,N,4,1495,3.62,0.94,3.85,378.95,41,0.52,0.28,1.88,14977,4.14,1.22,1.31,2.0807503998,4.6206369337,3.4,3.78,0.94,0.36,0.28
150109,N,4,6767,22.14,8.18,2.71,250.64,752,19.81,6.71,2.95,23201,41.94,14.89,1.32,3.304855684,3.0212784703,2.82,38.36,12.17,3.58,2.72
150112,N,4,10336,31.44,9.35,3.36,327,942,15.65,6.93,2.26,17681,47.09,16.28,1.31,2.4782785275,3.8887532762,2.89,43.03,13.18,4.06,3.1
150113,N,3,2307,5.99,1.94,3.09,292.23,123,2.85,1.07,2.67,21132,8.84,3,1.17,2.9476505713,3.5351065736,2.94,8.23,2.48,0.61,0.52
150115,N,5,5847,10.53,4.1,2.57,227.55,155,2.45,1.12,2.19,15150,12.98,5.22,1.45,2.4341238508,2.8627226323,2.49,11.38,4.11,1.59,1.1
150125,N,4,1700,3.56,1.25,2.85,268.44,63,1.59,0.65,2.43,17200,5.16,1.91,1.24,2.609909335,3.2232881038,2.71,4.77,1.59,0.39,0.32
150126,N,4,860,1.73,0.61,2.82,267.16,41,0.87,0.39,2.22,30742,2.6,1.01,1.53,2.4410246053,3.0512660796,2.58,2.34,0.83,0.26,0.17
150128,N,4,4126,13.53,3.7,3.66,351.83,395,9.99,3.35,2.98,22323,23.52,7.04,1.16,3.3550748656,4.2918555392,3.34,22.01,5.75,1.51,1.3
150133,N,2,356,0.81,0.25,3.24,299.47,18,0.31,0.11,2.7,19841,1.12,0.36,1.22,3.1261435796,3.8435237842,3.07,1.02,0.28,0.1,0.08
150146,N,4,214,0.57,0.1,5.63,521.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9013421651,NA,NA,NA,NA,NA
150149,N,5,1235,3.42,1.47,2.32,223.16,249,3.6,7.85,0.46,19590,7.02,9.33,1.07,0.4245825966,2.7222904632,0.75,6.11,8.48,0.91,0.85
150150,N,4,1220,5.09,1.48,3.44,298.5,115,1.69,0.81,2.08,19630,6.78,2.29,1.23,2.3673197286,4.0062321981,2.96,6.17,1.8,0.61,0.49
150153,N,5,413,2.81,0.97,2.9,247.42,81,5.12,1.54,3.33,22649,7.93,2.51,1.22,3.546714777,3.1142897739,3.16,7.63,2.25,0.31,0.25
150157,N,4,3425,11.86,3.15,3.76,370.49,458,10.3,4.02,2.56,22237,22.16,7.17,1.06,3.0784462228,4.4721343959,3.09,20.41,5.53,1.75,1.64
150158,N,5,4356,11.78,3.55,3.32,310.76,245,4.85,1.61,3.01,22890,16.63,5.16,1.42,3.3089416274,3.7428015362,3.22,15.35,4.26,1.28,0.9
150160,N,NA,3454,17.18,8.21,2.09,216.34,249,8.21,4.33,1.9,14460,25.39,12.54,1.19,2.1429227983,2.3979236943,2.02,21.63,9.38,3.75,3.16
150161,N,5,6350,16.98,5.17,3.28,319.11,798,17.81,6.37,2.8,24184,34.79,11.54,1.33,3.1995664627,3.7190663223,3.01,31.77,9.26,3.03,2.28
150162,N,2,10249,33,10.87,3.04,285.63,656,20.3,6.66,3.05,25882,53.3,17.53,1.17,3.4269525674,3.4726112843,3.04,49.56,14.34,3.74,3.19
150165,N,3,281,0.69,0.24,2.89,272.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1588781148,NA,NA,NA,NA,NA
150166,N,4,58,0.11,0.05,2.4,225.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6212515285,NA,NA,NA,NA,NA
150167,N,NA,350,4.54,1.12,4.07,406.91,70,4.5,1.22,3.68,26662,9.04,2.34,0.8,4.6333185545,5.5342588289,3.87,8.52,1.69,0.52,0.65
150168,N,NA,321,2.81,1.09,2.59,242.33,57,1.84,0.88,2.09,14170,4.65,1.97,0.9,2.3921906787,3.1897899307,2.36,4.23,1.5,0.41,0.46
150169,N,3,8450,18.03,5,3.6,353.68,728,19.54,6.67,2.93,27240,37.57,11.67,1.19,3.3380597019,4.2602156177,3.22,34.81,9.36,2.75,2.31
150172,N,5,1002,1.9,2.63,0.72,64.28,46,0.77,0.59,1.3,8705,2.66,3.22,0.78,1.4434451483,0.7001976811,0.83,2.12,2.53,0.54,0.69
150173,N,3,8437,30.47,11.59,2.63,243.9,995,22.1,7.24,3.05,24578,52.57,18.82,1.42,3.3626755196,2.9177428897,2.79,47.77,15.44,4.8,3.39
150175,N,4,140,0.94,0.39,2.4,189.41,19,0.87,0.26,3.29,20333,1.81,0.65,1.06,3.5828767113,2.5450363237,2.76,1.73,0.59,0.07,0.07
150176,N,2,163,0.21,0.21,1.03,89.99,19,0.34,0.23,1.49,8734,0.55,0.43,1.03,1.5442986974,1.0038430095,1.27,0.5,0.38,0.05,0.05
150177,N,NA,76,0.09,0.06,1.62,153.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6637341776,NA,NA,NA,NA,NA
150179,N,NA,16,0.07,0.02,4.66,1668.53,195,1.39,0.95,1.46,9570,1.46,0.97,0.95,1.4873145007,5.1659968883,1.51,1.41,0.91,0.05,0.06
150181,N,3,2235,5.88,1.53,3.85,372.36,132,1.94,0.76,2.55,20954,7.82,2.29,1.45,3.0671317292,4.4048519864,3.42,7.08,1.78,0.74,0.51
150182,N,5,168,0.46,0.22,2.12,238.21,18,0.91,0.36,2.52,21375,1.37,0.58,0.83,3.0279057817,2.4280333744,2.37,1.26,0.45,0.11,0.13
151300,Y,NA,231,0.3,0.23,1.31,259.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2549116779,NA,NA,NA,NA,NA
151301,Y,4,68,0.12,0.04,2.75,437.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9604772407,NA,NA,NA,NA,NA
151302,Y,NA,72,0.08,0.04,1.67,237.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6942998096,NA,NA,NA,NA,NA
151303,Y,4,792,1.54,0.54,2.84,452.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0538471235,NA,NA,NA,NA,NA
151304,Y,3,356,0.59,0.36,1.63,355.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6598870117,NA,NA,NA,NA,NA
151305,Y,3,219,0.33,0.2,1.66,287.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7217654077,NA,NA,NA,NA,NA
151307,Y,4,236,0.44,0.15,2.84,388.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1206926739,NA,NA,NA,NA,NA
151308,Y,NA,1039,2.28,0.96,2.37,502.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4661392803,NA,NA,NA,NA,NA
151309,Y,3,434,0.75,0.3,2.5,414.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6646708493,NA,NA,NA,NA,NA
151310,Y,4,419,0.73,0.34,2.15,341.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2612832503,NA,NA,NA,NA,NA
151311,Y,4,282,1.18,0.5,2.35,437.36,20,0.31,0.51,0.61,10625,1.49,1.01,1.07,0.6050659158,2.466673423,1.48,1.39,0.91,0.1,0.1
151312,Y,4,658,0.76,0.49,1.54,221.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.540744282,NA,NA,NA,NA,NA
151313,Y,4,332,0.69,0.29,2.34,308.75,17,0.27,0.18,1.5,17067,0.95,0.47,1.23,1.5677741665,2.5078282004,2.02,0.87,0.4,0.08,0.07
151314,Y,NA,684,1.36,0.6,2.25,348.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3763301646,NA,NA,NA,NA,NA
151315,Y,4,123,0.28,0.17,1.67,267.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6759336002,NA,NA,NA,NA,NA
151316,Y,4,47,0.12,0.06,2.04,499.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1041956248,NA,NA,NA,NA,NA
151317,Y,2,303,0.46,0.19,2.41,318.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6131070264,NA,NA,NA,NA,NA
151318,Y,2,244,0.47,0.19,2.46,296.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7349284978,NA,NA,NA,NA,NA
151319,Y,NA,116,0.19,0.1,1.89,291.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9691660612,NA,NA,NA,NA,NA
151320,Y,4,300,0.47,0.26,1.82,275.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8964484694,NA,NA,NA,NA,NA
151322,Y,3,318,0.55,0.28,2,252.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1127576563,NA,NA,NA,NA,NA
151323,Y,4,178,0.36,0.13,2.74,442.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9165252018,NA,NA,NA,NA,NA
151325,Y,3,145,0.28,0.11,2.51,332.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6709344582,NA,NA,NA,NA,NA
151326,Y,4,431,0.64,0.3,2.12,388.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2249593415,NA,NA,NA,NA,NA
151327,Y,3,580,0.55,0.33,1.64,220.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6905300855,NA,NA,NA,NA,NA
151328,Y,4,77,0.21,0.06,3.52,473.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7719802775,NA,NA,NA,NA,NA
151329,Y,5,1788,2.35,1.12,2.1,225.32,61,0.75,0.61,1.22,14855,3.1,1.73,1.14,1.289888697,2.3080154093,1.79,2.72,1.4,0.38,0.34
151330,Y,4,444,0.45,0.29,1.54,202.38,13,0.14,0.11,1.29,11935,0.59,0.4,1.28,1.3024804244,1.5841301728,1.47,0.53,0.35,0.06,0.05
151331,Y,4,480,0.68,0.37,1.84,197.9,20,0.22,0.2,1.12,10837,0.91,0.57,1.04,1.1281467434,2.0302360777,1.59,0.82,0.49,0.09,0.09
151332,Y,3,985,1.38,0.66,2.11,260.76,24,0.31,0.26,1.18,12980,1.69,0.92,1.31,1.1991677073,2.2262071099,1.84,1.52,0.79,0.17,0.13
151333,Y,4,386,0.48,0.28,1.68,186.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7259790319,NA,NA,NA,NA,NA
151334,Y,3,758,0.76,0.36,2.14,209.34,17,0.14,0.1,1.39,11184,0.9,0.46,1.53,1.4097186822,2.3151624568,1.97,0.76,0.37,0.14,0.09
151335,Y,4,239,0.59,0.26,2.26,433.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3577855382,NA,NA,NA,NA,NA
160016,N,3,713,1.03,0.49,2.11,194.41,31,0.33,0.22,1.55,12161,1.37,0.71,1.78,1.5300028118,2.1701159718,1.94,1.13,0.57,0.24,0.14
160024,N,3,34,0.06,0.03,1.99,186.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1194283801,NA,NA,NA,NA,NA
160028,N,4,52,0.09,0.03,3.1,289.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2960697948,NA,NA,NA,NA,NA
160029,N,5,47,0.13,0.05,2.82,249.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9616491269,NA,NA,NA,NA,NA
160030,N,4,116,0.38,0.18,2.13,186.59,18,0.47,0.2,2.38,17769,0.85,0.38,2.23,2.3681043899,2.1386587578,2.26,0.74,0.33,0.11,0.05
160033,N,2,223,0.26,0.15,1.74,157.45,18,0.2,0.11,1.78,12598,0.47,0.27,1.7,1.7996916189,1.7379871849,1.75,0.39,0.22,0.07,0.04
160040,N,2,16,0.03,0.01,3.82,352.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0939882278,NA,NA,NA,NA,NA
160045,N,5,149,0.24,0.11,2.1,186.33,14,0.24,0.13,1.77,12090,0.48,0.25,1.93,1.7606653727,2.1387659301,1.92,0.42,0.22,0.06,0.03
160047,N,4,29,0.04,0.01,2.97,277.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2640279512,NA,NA,NA,NA,NA
160057,N,2,34,0.08,0.02,3.6,393.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3603011007,NA,NA,NA,NA,NA
