medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
050301,N,3,1602,3.34,1.37,2.45,274.54,65,1.74,0.54,3.21,29658,5.08,1.91,1.64,3.4877415123,2.596716668,2.66,4.57,1.6,0.51,0.31
050305,N,3,1000,4.22,1.05,4.01,716.93,89,2.68,1.22,2.2,30883,6.9,2.27,1.42,2.309788822,4.7581263604,3.04,6.35,1.88,0.55,0.39
050308,N,4,1233,8.02,2.33,3.44,495.1,331,9.26,4.3,2.16,27056,17.28,6.62,1.62,2.3059699412,3.9506980171,2.61,15.11,5.29,2.17,1.34
050309,N,5,915,5.83,1.64,3.55,452.18,225,8.89,2.61,3.4,36510,14.72,4.26,2.12,3.6165271685000002,3.824108485,3.46,13.37,3.62,1.35,0.64
050313,N,4,154,0.62,0.15,4.09,479.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7812356763,NA,NA,NA,NA,NA
050315,N,1,NA,NA,NA,NA,NA,79,2.06,1.52,1.35,22512,NA,NA,NA,1.3639669539,NA,NA,NA,NA,NA,NA
050320,N,2,45,0.23,0.03,6.93,1071.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4200928379,NA,NA,NA,NA,NA
050324,N,5,2918,9.28,3.5,2.65,302.36,1427,23.56,10.67,2.21,23381,32.83,14.17,1.31,2.6240908614,2.8406040516,2.32,27.87,10.4,4.96,3.78
050327,N,3,1577,4.62,1.83,2.52,285.31,145,5.53,2.99,1.85,24146,10.16,4.82,1.69,1.9078631665,2.6240723271,2.11,9.15,4.23,1.01,0.59
050329,N,2,157,0.37,0.2,1.84,200.7,19,0.35,0.27,1.3,13129,0.72,0.47,1.11,1.458148859,1.8996547117,1.53,0.61,0.37,0.11,0.1
050334,N,3,4863,23.18,6.08,3.81,498.02,645,28.12,7.95,3.54,41882,51.29,14.03,1.05,3.8939893678,4.3750507156,3.66,49.18,12.01,2.12,2.02
050335,N,3,3708,7.77,3.5,2.22,258.14,154,4.84,1.74,2.78,29372,12.62,5.24,1.92,2.9144192933,2.2683876435,2.41,11,4.4,1.61,0.84
050336,N,2,694,2.08,0.79,2.65,318.53,88,2.32,0.85,2.74,25541,4.4,1.63,1.82,2.8803172765,2.8352225686,2.69,3.93,1.37,0.47,0.26
050342,N,2,1384,1.8,0.98,1.84,201.94,65,1.1,0.51,2.17,20524,2.9,1.49,1.48,2.3161891604,1.9015814307,1.95,2.5,1.22,0.4,0.27
050348,N,3,1882,5.11,2.07,2.47,287.64,139,6.2,2.48,2.5,34005,11.31,4.55,2.31,2.5731754018,2.4469562982,2.49,9.75,3.87,1.56,0.68
050350,N,2,143,0.1,0.07,1.41,153.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4218037932,NA,NA,NA,NA,NA
050351,N,4,2206,3.35,1.73,1.93,211.25,208,4.66,2.44,1.91,17629,8.01,4.17,1.19,2.1097017085,2.0407454425,1.92,7.12,3.42,0.89,0.75
050352,N,4,631,3.02,0.78,3.87,530.55,37,1.81,0.62,2.92,33035,4.82,1.4,1.11,3.1573553834,4.5567350349,3.45,4.58,1.17,0.25,0.22
050353,N,4,614,1.46,0.84,1.74,196.49,114,2.66,1.27,2.09,23017,4.12,2.11,1.42,2.2218715135,1.762252824,1.95,3.64,1.77,0.48,0.34
050357,N,5,833,3.02,0.77,3.92,462.37,61,3.2,1.12,2.86,28985,6.22,1.89,1.32,3.1438090366,4.694073841,3.29,5.76,1.54,0.46,0.35
050359,N,NA,646,0.71,0.46,1.54,157.97,25,0.38,0.29,1.31,11686,1.08,0.75,1.28,1.3111518973,1.5858530835,1.45,0.97,0.66,0.11,0.09
050360,N,3,580,2.9,0.66,4.4,606.38,56,2.16,1.13,1.91,26353,5.06,1.79,1.05,2.1772162069,5.0827405287,2.83,4.71,1.46,0.35,0.33
